bibkey,title,authors,year,category,one_line_summary,where_to_cite,notes,filepath
Vogl2017,"Microwave Ablation (MWA): Basics, Technique and Results in Primary and Metastatic Liver Neoplasms",Vogl et al.,2017,Review,Comprehensive review of MWA principles fundamentals technique and clinical results for liver tumor ablation,MWA basics; tissue properties; advantages over RFA; ablation zone definition; temperature monitoring; imaging modalities; clinical outcomes,German title also provided. Extensive reference covering mechanics and clinical applications.,https://doi.org/10.1055/s-0043-117410
Seda2026,A review of established and new developments in local therapies for liver cancer,Seda et al.,2026,Review,Review of established and emerging local therapies for liver cancer including MWA and immunotherapy interactions,Local therapies; immunotherapy enhancement; treatment indications; contraindications; systemic immune response,Recent publication in ESMO Gastrointestinal Oncology. Addresses combination of local ablation with immunotherapy approaches.,https://doi.org/10.1016/j.esmogo.2025.100283
Lubner2010,Microwave Tumor Ablation: Mechanism of Action Clinical Results and Devices,Lubner et al.,2010,Review,Review of microwave ablation mechanism of action clinical results and technical device specifications,MWA mechanism; dielectric heating; device frequencies; heat dissipation; tissue conductivity; heat-sink effects,Technical information on MWA physics and device design comparison. Covers 915 MHz and 2.45 GHz frequencies.,https://doi.org/10.1016/j.jvir.2010.04.007
Ahmed2014,Image-guided tumor ablation: standardization of terminology and reporting criteria--a 10-year update,Ahmed et al.,2014,Standards,Standardization of terminology and reporting criteria for image-guided ablation procedures,Terminology definitions; technical success criteria; ablative margin specifications; imaging modalities; monitoring techniques,Published in JVIR. Critical reference for defining ablation zone definitions and standardized reporting of ablation outcomes.,https://doi.org/10.1016/j.jvir.2014.08.027
Zhang2020,Detection and Monitoring of Thermal Lesions Induced by Microwave Ablation Using Ultrasound Imaging and Convolutional Neural Networks,Zhang et al.,2020,DeepLearning,CNN-based detection and monitoring of MWA-induced thermal lesions from ultrasound RF data in porcine livers,Deep learning methods; CNN architecture; ultrasound monitoring; thermal lesion segmentation; real-time monitoring,Proposes modified CNN (SIm-CNN) achieving AUC 0.8948 vs B-mode 0.6904. First paper applying CNNs to ultrasound RF data for MWA monitoring.,unread/Detection_and_Monitoring_of_Thermal_Lesions_Induced_by_Microwave_Ablation_Using_Ultrasound_Imaging_and_Convolutional_Neural_Networks.pdf
Geoghegan2022,Methods of monitoring thermal ablation of soft tissue tumors: A comprehensive review,Geoghegan et al.,2022,Review,Comprehensive review of ALL monitoring modalities (MRI thermometry; CT; ultrasound; thermocouples; fiber-optic probes) for thermal ablation,Monitoring modalities comparison; real-time monitoring; temperature measurement; limitations of each approach; clinical requirements,2022 Medical Physics journal. Most recent comprehensive review covering MRT; CT; US; invasive sensors. Essential for monitoring section.,unread/Medical Physics - 2022 - Geoghegan - Methods of monitoring thermal ablation of soft tissue tumors A comprehensive review.pdf
Yang2007,Measurement and Analysis of Tissue Temperature During Microwave Liver Ablation,Yang et al.,2007,Experimental,Experimental measurement and analysis of tissue temperature dynamics during MWA in ex vivo liver,Temperature measurement methods; thermal dynamics; thermocouple calibration; temperature profiles during ablation,Provides experimental methodology for temperature measurement validation. Key reference for experimental setup verification.,unread/Measurement_and_Analysis_of_Tissue_Temperature_During_Microwave_Liver_Ablation.pdf
Sim2009,[Sonographically-guided microwave coagulation treatment of liver cancer],Sim et al.,2009,Clinical,Experimental and clinical study of sonographically-guided microwave ablation for liver cancer treatment,Clinical procedures; ultrasound guidance; experimental validation; treatment efficacy; coagulation monitoring,Combines experimental ex vivo and in vivo studies. Demonstrates clinical feasibility of ultrasound-guided MWA.,unread/sonographically-guided-microwave-coagulation-treatment-of-liver-cancer-an-experimental-and-clinical-study.pdf
Bolster2003,Echo Decorrelation Imaging: An ex vivo Study,Bolster et al.,2003,Monitoring,Echo decorrelation imaging as indirect marker of coagulation in thermal ablation,Ultrasound markers; echo decorrelation; speckle changes; tissue coagulation; indirect temperature indicators,Demonstrates that echo decorrelation (speckle changes) can track coagulation progression. Relevant for ultrasound-based indirect monitoring.,unread/1-s2.0-S0301562901005191-main.pdf
Seip2002,Non-invasive thermometry in RF ablation using ultrasound,Seip et al.,2002,Monitoring,Non-invasive thermometry methods using ultrasound for radiofrequency ablation monitoring,Ultrasound thermometry; temperature estimation; RF-based methods; thermometry limitations,Early work on ultrasound-based temperature estimation. Establishes why indirect US markers are imperfect for absolute temperature.,unread/1-s2.0-S0720048X09001776-main.pdf
